Test;Size;Time (µs);GB/s
Write SRAM0;6096;881071;1.815972
Scalar Write SRAM0;6096;1007976;1.587339
Write TCM;6096;503566;3.177339
Scalar Write TCM;6096;1004337;1.593091
Read SRAM0;6384;1281098;1.248929
Scalar Read SRAM0;6384;1805121;0.886367
Read TCM;6384;503323;3.178873
Scalar Read TCM;6384;1003985;1.593649
Write SRAM0;6384;880982;1.816155
Scalar Write SRAM0;6384;1007832;1.587566
Write TCM;6384;503422;3.178248
Scalar Write TCM;6384;1004191;1.593322
Read SRAM0;6684;1246224;1.283878
Scalar Read SRAM0;6684;1769042;0.904444
Read TCM;6684;503192;3.179701
Scalar Read TCM;6684;1003838;1.593883
Write SRAM0;6684;881115;1.815881
Scalar Write SRAM0;6684;1007647;1.587858
Write TCM;6684;503291;3.179075
Scalar Write TCM;6684;1004039;1.593564
Read SRAM0;6996;1235192;1.295345
Scalar Read SRAM0;6996;1756814;0.910740
Read TCM;6996;503062;3.180522
Scalar Read TCM;6996;1003697;1.594107
Write SRAM0;6996;881034;1.816048
Scalar Write SRAM0;6996;1007514;1.588067
Write TCM;6996;503163;3.179884
Scalar Write TCM;6996;1003895;1.593792
Read SRAM0;7324;1243167;1.287035
Scalar Read SRAM0;7324;1764282;0.906884
Read TCM;7324;502936;3.181319
Scalar Read TCM;7324;1003553;1.594335
Write SRAM0;7324;880961;1.816198
Scalar Write SRAM0;7324;1007371;1.588293
Write TCM;7324;503037;3.180681
Scalar Write TCM;7324;1003755;1.594014
Read SRAM0;7668;1340448;1.193631
Scalar Read SRAM0;7668;1861702;0.859429
Read TCM;7668;502822;3.182040
Scalar Read TCM;7668;1003428;1.594534
Write SRAM0;7668;880871;1.816384
Scalar Write SRAM0;7668;1007230;1.588515
Write TCM;7668;502922;3.181408
Scalar Write TCM;7668;1003626;1.594219
Read SRAM0;8028;1385467;1.154845
Scalar Read SRAM0;8028;1905908;0.839495
Read TCM;8028;502711;3.182743
Scalar Read TCM;8028;1003305;1.594729
Write SRAM0;8028;880789;1.816553
Scalar Write SRAM0;8028;1007104;1.588714
Write TCM;8028;502811;3.182110
Scalar Write TCM;8028;1003507;1.594408
Read SRAM0;8404;1606109;0.996196
Scalar Read SRAM0;8404;2136435;0.748911
Read TCM;8404;502608;3.183395
Scalar Read TCM;8404;1003193;1.594907
Write SRAM0;8404;880721;1.816693
Scalar Write SRAM0;8404;1007011;1.588861
Write TCM;8404;502707;3.182768
Scalar Write TCM;8404;1003393;1.594589
Read SRAM0;8800;1915696;0.835206
Scalar Read SRAM0;8800;2462623;0.649714
Read TCM;8800;502503;3.184061
Scalar Read TCM;8800;1003077;1.595092
Write SRAM0;8800;880473;1.817205
Scalar Write SRAM0;8800;1006880;1.589067
Write TCM;8800;502602;3.183434
Scalar Write TCM;8800;1003278;1.594772
Read SRAM0;9212;2205029;0.725614
Scalar Read SRAM0;9212;2776423;0.576281
Read TCM;9212;502405;3.184682
Scalar Read TCM;9212;1002968;1.595265
Write SRAM0;9212;880576;1.816993
Scalar Write SRAM0;9212;1006755;1.589265
Write TCM;9212;502504;3.184054
Scalar Write TCM;9212;1003169;1.594946
Read SRAM0;9644;2237070;0.715221
Scalar Read SRAM0;9644;2775836;0.576403
Read TCM;9644;502313;3.185265
Scalar Read TCM;9644;1002866;1.595428
Write SRAM0;9644;880523;1.817102
Scalar Write SRAM0;9644;1006650;1.589430
Write TCM;9644;502412;3.184637
Scalar Write TCM;9644;1003069;1.595105
Read SRAM0;10096;2278964;0.702073
Scalar Read SRAM0;10096;2858972;0.559642
Read TCM;10096;502223;3.185836
Scalar Read TCM;10096;1002765;1.595588
Write SRAM0;10096;880288;1.817587
Scalar Write SRAM0;10096;1006554;1.589582
Write TCM;10096;502323;3.185201
Scalar Write TCM;10096;1002968;1.595265
Read SRAM0;10572;2401461;0.666261
Scalar Read SRAM0;10572;2983781;0.536232
Read TCM;10572;502137;3.186381
Scalar Read TCM;10572;1002669;1.595741
Write SRAM0;10572;880396;1.817364
Scalar Write SRAM0;10572;1006459;1.589732
Write TCM;10572;502236;3.185753
Scalar Write TCM;10572;1002869;1.595423
Read SRAM0;11068;2540835;0.629714
Scalar Read SRAM0;11068;3132113;0.510837
Read TCM;11068;502065;3.186838
Scalar Read TCM;11068;1002593;1.595862
Write SRAM0;11068;880352;1.817455
Scalar Write SRAM0;11068;1006389;1.589843
Write TCM;11068;502164;3.186210
Scalar Write TCM;11068;1002796;1.595539
Read SRAM0;11588;2660261;0.601445
Scalar Read SRAM0;11588;3260680;0.490695
Read TCM;11588;501983;3.187359
Scalar Read TCM;11588;1002502;1.596007
Write SRAM0;11588;880547;1.817052
Scalar Write SRAM0;11588;1006284;1.590008
Write TCM;11588;502082;3.186731
Scalar Write TCM;11588;1002704;1.595685
Read SRAM0;12128;2766348;0.578380
Scalar Read SRAM0;12128;3368090;0.475047
Read TCM;12128;501908;3.187835
Scalar Read TCM;12128;1002418;1.596141
Write SRAM0;12128;880355;1.817449
Scalar Write SRAM0;12128;1006197;1.590146
Write TCM;12128;502012;3.187175
Scalar Write TCM;12128;1002620;1.595819
Read SRAM0;12700;2838261;0.563725
Scalar Read SRAM0;12700;3432539;0.466127
Read TCM;12700;501846;3.188229
Scalar Read TCM;12700;1002357;1.596238
Write SRAM0;12700;880226;1.817715
Scalar Write SRAM0;12700;1006154;1.590214
Write TCM;12700;501947;3.187587
Scalar Write TCM;12700;1002564;1.595908
Read SRAM0;13296;2893808;0.552905
Scalar Read SRAM0;13296;3483165;0.459352
Read TCM;13296;501778;3.188661
Scalar Read TCM;13296;1002281;1.596359
Write SRAM0;13296;880252;1.817661
Scalar Write SRAM0;13296;1006042;1.590391
Write TCM;13296;501881;3.188007
Scalar Write TCM;13296;1002480;1.596042
Read SRAM0;13920;2943283;0.543611
Scalar Read SRAM0;13920;3527363;0.453597
Read TCM;13920;501710;3.189093
Scalar Read TCM;13920;1002193;1.596499
Write SRAM0;13920;880195;1.817779
Scalar Write SRAM0;13920;1005999;1.590459
Write TCM;13920;501809;3.188464
Scalar Write TCM;13920;1002394;1.596179
Read SRAM0;14572;2955101;0.541437
Scalar Read SRAM0;14572;3526531;0.453704
Read TCM;14572;501641;3.189532
Scalar Read TCM;14572;1002114;1.596625
Write SRAM0;14572;880240;1.817686
Scalar Write SRAM0;14572;1005899;1.590617
Write TCM;14572;501739;3.188909
Scalar Write TCM;14572;1002311;1.596311
Read SRAM0;15256;2943078;0.543649
Scalar Read SRAM0;15256;3500465;0.457082
Read TCM;15256;501596;3.189818
Scalar Read TCM;15256;1002072;1.596692
Write SRAM0;15256;880089;1.817998
Scalar Write SRAM0;15256;1005829;1.590728
Write TCM;15256;501695;3.189189
Scalar Write TCM;15256;1002274;1.596370
Read SRAM0;15972;2928225;0.546406
Scalar Read SRAM0;15972;3471368;0.460913
Read TCM;15972;501521;3.190295
Scalar Read TCM;15972;1001986;1.596829
Write SRAM0;15972;880127;1.817919
Scalar Write SRAM0;15972;1005756;1.590843
Write TCM;15972;501630;3.189602
Scalar Write TCM;15972;1002188;1.596507
Read SRAM0;16720;2880853;0.555391
Scalar Read SRAM0;16720;3406277;0.469721
Read TCM;16720;501477;3.190575
Scalar Read TCM;16720;1001940;1.596902
Write SRAM0;16720;879991;1.818200
Scalar Write SRAM0;16720;1005700;1.590932
Write TCM;16720;501583;3.189901
Scalar Write TCM;16720;1002143;1.596579
Read SRAM0;17504;2812748;0.568839
Scalar Read SRAM0;17504;3319694;0.481972
Read TCM;17504;501415;3.190969
Scalar Read TCM;17504;1001864;1.597023
Write SRAM0;17504;879937;1.818312
Scalar Write SRAM0;17504;1005633;1.591038
Write TCM;17504;501517;3.190321
Scalar Write TCM;17504;1002065;1.596703
Read SRAM0;18328;2729083;0.586278
Scalar Read SRAM0;18328;3221849;0.496609
Read TCM;18328;501381;3.191186
Scalar Read TCM;18328;1001826;1.597084
Write SRAM0;18328;879901;1.818386
Scalar Write SRAM0;18328;1005618;1.591061
Write TCM;18328;501478;3.190569
Scalar Write TCM;18328;1002026;1.596765
Read SRAM0;19188;2613396;0.612230
Scalar Read SRAM0;19188;3108373;0.514739
Read TCM;19188;501334;3.191485
Scalar Read TCM;19188;1001779;1.597159
Write SRAM0;19188;879985;1.818213
Scalar Write SRAM0;19188;1005558;1.591156
Write TCM;19188;501433;3.190855
Scalar Write TCM;19188;1001987;1.596827
Read SRAM0;20088;2473087;0.646965
Scalar Read SRAM0;20088;2983741;0.536240
Read TCM;20088;501292;3.191752
Scalar Read TCM;20088;1001730;1.597237
Write SRAM0;20088;879809;1.818576
Scalar Write SRAM0;20088;1005476;1.591286
Write TCM;20088;501385;3.191160
Scalar Write TCM;20088;1001931;1.596916
Read SRAM0;21028;2195838;0.728651
Scalar Read SRAM0;21028;2855544;0.560314
Read TCM;21028;501247;3.192039
Scalar Read TCM;21028;1001686;1.597307
Write SRAM0;21028;879850;1.818492
Scalar Write SRAM0;21028;1005437;1.591348
Write TCM;21028;501346;3.191409
Scalar Write TCM;21028;1001888;1.596985
Read SRAM0;22016;1752754;0.912849
Scalar Read SRAM0;22016;2715023;0.589314
Read TCM;22016;501195;3.192370
Scalar Read TCM;22016;1001621;1.597411
Write SRAM0;22016;879738;1.818723
Scalar Write SRAM0;22016;1005370;1.591454
Write TCM;22016;501295;3.191733
Scalar Write TCM;22016;1001820;1.597093
Read SRAM0;23048;1532516;1.044035
Scalar Read SRAM0;23048;2582797;0.619483
Read TCM;23048;501172;3.192517
Scalar Read TCM;23048;1001606;1.597435
Write SRAM0;23048;879727;1.818746
Scalar Write SRAM0;23048;1005348;1.591489
Write TCM;23048;501271;3.191886
Scalar Write TCM;23048;1001806;1.597116
Read SRAM0;24128;1461868;1.094490
Scalar Read SRAM0;24128;2442910;0.654957
Read TCM;24128;501131;3.192778
Scalar Read TCM;24128;1001555;1.597516
Write SRAM0;24128;879691;1.818820
Scalar Write SRAM0;24128;1005301;1.591563
Write TCM;24128;501229;3.192154
Scalar Write TCM;24128;1001756;1.597195
Read SRAM0;25260;1414873;1.130844
Scalar Read SRAM0;25260;2316545;0.690684
Read TCM;25260;501092;3.193027
