Test;Size;Time (µs);GB/s
Write Throughput SRAM 0;5160;881384;1.815327
Scalar Write Throughput SRAM 0;5160;1004744;1.592445
Write Throughput;5160;504112;3.173898
Scalar Write Throughput;5160;1004744;1.592445
Read Throughput SRAM 0;5416;503842;3.175599
Scalar Read Throughput SRAM 0;5416;1004553;1.592748
Read Throughput;5416;503843;3.175592
Scalar Read Throughput;5416;1004559;1.592739
Write Throughput SRAM 0;5416;881285;1.815531
Scalar Write Throughput SRAM 0;5416;1004550;1.592753
Write Throughput;5416;503938;3.174994
Scalar Write Throughput;5416;1004551;1.592751
Read Throughput SRAM 0;5160;504016;3.174502
Scalar Read Throughput SRAM 0;5160;1004721;1.592482
Read Throughput;5160;504013;3.174521
Scalar Read Throughput;5160;1004742;1.592449
Write Throughput SRAM 0;5160;881369;1.815358
Scalar Write Throughput SRAM 0;5160;1004742;1.592449
Write Throughput;5160;504112;3.173898
Scalar Write Throughput;5160;1004743;1.592447
Read Throughput SRAM 0;5416;503843;3.175592
Scalar Read Throughput SRAM 0;5416;1004550;1.592753
Read Throughput;5416;503840;3.175611
Scalar Read Throughput;5416;1004551;1.592751
Write Throughput SRAM 0;5416;881267;1.815568
Scalar Write Throughput SRAM 0;5416;1004551;1.592751
Write Throughput;5416;503938;3.174994
Scalar Write Throughput;5416;1004552;1.592750
Read Throughput SRAM 0;5680;503676;3.176645
Scalar Read Throughput SRAM 0;5680;1004367;1.593043
Read Throughput;5680;503674;3.176658
Scalar Read Throughput;5680;1004366;1.593045
Write Throughput SRAM 0;5680;881183;1.815741
Scalar Write Throughput SRAM 0;5680;1004367;1.593043
Write Throughput;5680;503774;3.176027
Scalar Write Throughput;5680;1004367;1.593043
Read Throughput SRAM 0;5960;516277;3.099112
Scalar Read Throughput SRAM 0;5960;1017057;1.573166
Read Throughput;5960;503520;3.177629
Scalar Read Throughput;5960;1004200;1.593308
Write Throughput SRAM 0;5960;881092;1.815928
Scalar Write Throughput SRAM 0;5960;1016837;1.573507
Write Throughput;5960;503619;3.177005
Scalar Write Throughput;5960;1004199;1.593310
Read Throughput SRAM 0;6256;526415;3.039427
Scalar Read Throughput SRAM 0;6256;1027319;1.557452
Read Throughput;6256;503365;3.178608
Scalar Read Throughput;6256;1004023;1.593589
Write Throughput SRAM 0;6256;880997;1.816124
Scalar Write Throughput SRAM 0;6256;1027601;1.557024
Write Throughput;6256;503464;3.177983
Scalar Write Throughput;6256;1004023;1.593589
Read Throughput SRAM 0;6564;659534;2.425955
Scalar Read Throughput SRAM 0;6564;1165957;1.372263
Read Throughput;6564;503223;3.179505
Scalar Read Throughput;6564;1003868;1.593835
Write Throughput SRAM 0;6564;881131;1.815848
Scalar Write Throughput SRAM 0;6564;1165973;1.372244
Write Throughput;6564;503321;3.178886
Scalar Write Throughput;6564;1003868;1.593835
Read Throughput SRAM 0;6888;709659;2.254604
Scalar Read Throughput SRAM 0;6888;1208489;1.323967
Read Throughput;6888;503091;3.180339
Scalar Read Throughput;6888;1003723;1.594065
