Test;Size;Time (µs);GB/s
Read Throughput SRAM 0;5564;503948;1.269972
Scalar Read Throughput SRAM 0;5564;1005160;0.636715
Read Throughput;5564;503944;1.269982
Scalar Read Throughput;5564;1005160;0.636715
Write Throughput SRAM 0;5564;883926;0.724042
Scalar Write Throughput SRAM 0;5564;1005158;0.636716
Write Throughput;5564;504192;1.269358
Scalar Write Throughput;5564;1005160;0.636715
Read Throughput SRAM 0;5824;503792;1.270366
Scalar Read Throughput SRAM 0;5824;1004980;0.636829
Read Throughput;5824;503787;1.270378
Scalar Read Throughput;5824;1004982;0.636827
Write Throughput SRAM 0;5824;883565;0.724338
Scalar Write Throughput SRAM 0;5824;1004980;0.636829
Write Throughput;5824;504032;1.269761
Scalar Write Throughput;5824;1004980;0.636829
Read Throughput SRAM 0;6096;510859;1.252792
Scalar Read Throughput SRAM 0;6096;1012547;0.632069
Read Throughput;6096;503634;1.270764
Scalar Read Throughput;6096;1004808;0.636938
Write Throughput SRAM 0;6096;883472;0.724415
Scalar Write Throughput SRAM 0;6096;1012356;0.632189
Write Throughput;6096;503882;1.270139
Scalar Write Throughput;6096;1004810;0.636936
Read Throughput SRAM 0;6384;510619;1.253381
Scalar Read Throughput SRAM 0;6384;1011928;0.632456
Read Throughput;6384;503492;1.271122
Scalar Read Throughput;6384;1004656;0.637034
Write Throughput SRAM 0;6384;883386;0.724485
Scalar Write Throughput SRAM 0;6384;1011572;0.632679
Write Throughput;6384;503742;1.270492
Scalar Write Throughput;6384;1004654;0.637035
Read Throughput SRAM 0;6684;509844;1.255286
Scalar Read Throughput SRAM 0;6684;1011405;0.632783
Read Throughput;6684;503357;1.271463
Scalar Read Throughput;6684;1004501;0.637132
Write Throughput SRAM 0;6684;883522;0.724374
Scalar Write Throughput SRAM 0;6684;1011209;0.632906
Write Throughput;6684;503606;1.270835
Scalar Write Throughput;6684;1004500;0.637133
Read Throughput SRAM 0;6996;524932;1.219205
Scalar Read Throughput SRAM 0;6996;1025525;0.624071
Read Throughput;6996;503241;1.271757
Scalar Read Throughput;6996;1004380;0.637209
Write Throughput SRAM 0;6996;883460;0.724424
Scalar Write Throughput SRAM 0;6996;1025995;0.623785
Write Throughput;6996;503488;1.271133
Scalar Write Throughput;6996;1004379;0.637210
Read Throughput SRAM 0;7324;527392;1.213519
Scalar Read Throughput SRAM 0;7324;1028539;0.622242
Read Throughput;7324;503100;1.272113
Scalar Read Throughput;7324;1004208;0.637318
Write Throughput SRAM 0;7324;883343;0.724520
Scalar Write Throughput SRAM 0;7324;1028551;0.622235
Write Throughput;7324;503349;1.271484
Scalar Write Throughput;7324;1004206;0.637319
Read Throughput SRAM 0;7668;546060;1.172032
Scalar Read Throughput SRAM 0;7668;1047754;0.610830
Read Throughput;7668;502981;1.272414
Scalar Read Throughput;7668;1004077;0.637401
Write Throughput SRAM 0;7668;883258;0.724590
Scalar Write Throughput SRAM 0;7668;1047695;0.610865
Write Throughput;7668;503233;1.271777
Scalar Write Throughput;7668;1004074;0.637403
Read Throughput SRAM 0;8028;625522;1.023145
Scalar Read Throughput SRAM 0;8028;1131804;0.565469
Read Throughput;8028;502893;1.272637
Scalar Read Throughput;8028;1003984;0.637460
Write Throughput SRAM 0;8028;883208;0.724631
Scalar Write Throughput SRAM 0;8028;1131967;0.565388
Write Throughput;8028;503138;1.272017
Scalar Write Throughput;8028;1003983;0.637461
Read Throughput SRAM 0;8404;782464;0.817929
Scalar Read Throughput SRAM 0;8404;1301851;0.491608
Read Throughput;8404;502770;1.272948
Scalar Read Throughput;8404;1003848;0.637547
Write Throughput SRAM 0;8404;883456;0.724428
Scalar Write Throughput SRAM 0;8404;1302473;0.491373
Write Throughput;8404;503019;1.272318
Scalar Write Throughput;8404;1003848;0.637547
Read Throughput SRAM 0;8800;948135;0.675009
Scalar Read Throughput SRAM 0;8800;1479835;0.432481
Read Throughput;8800;502660;1.273226
Scalar Read Throughput;8800;1003718;0.637629
Write Throughput SRAM 0;8800;883145;0.724683
Scalar Write Throughput SRAM 0;8800;1480264;0.432355
Write Throughput;8800;502905;1.272606
Scalar Write Throughput;8800;1003710;0.637634
Read Throughput SRAM 0;9212;1101475;0.581039
Scalar Read Throughput SRAM 0;9212;1649428;0.388013
Read Throughput;9212;502563;1.273472
Scalar Read Throughput;9212;1003610;0.637698
Write Throughput SRAM 0;9212;883206;0.724633
Scalar Write Throughput SRAM 0;9212;1649322;0.388038
Write Throughput;9212;502811;1.272844
Scalar Write Throughput;9212;1003610;0.637698
Read Throughput SRAM 0;9644;1255864;0.509609
Scalar Read Throughput SRAM 0;9644;1809560;0.353677
Read Throughput;9644;502471;1.273705
Scalar Read Throughput;9644;1003504;0.637765
Write Throughput SRAM 0;9644;882792;0.724973
Scalar Write Throughput SRAM 0;9644;1809492;0.353690
Write Throughput;9644;502717;1.273082
Scalar Write Throughput;9644;1003507;0.637763
Read Throughput SRAM 0;10096;1346476;0.475315
Scalar Read Throughput SRAM 0;10096;1912545;0.334633
Read Throughput;10096;502372;1.273956
Scalar Read Throughput;10096;1003389;0.637838
Write Throughput SRAM 0;10096;882556;0.725166
Scalar Write Throughput SRAM 0;10096;1913694;0.334432
Write Throughput;10096;502620;1.273328
Scalar Write Throughput;10096;1003389;0.637838
Read Throughput SRAM 0;10572;1414398;0.452489
Scalar Read Throughput SRAM 0;10572;1986744;0.322135
Read Throughput;10572;502302;1.274134
Scalar Read Throughput;10572;1003326;0.637878
Write Throughput SRAM 0;10572;882961;0.724834
Scalar Write Throughput SRAM 0;10572;1986722;0.322139
Write Throughput;10572;502552;1.273500
Scalar Write Throughput;10572;1003330;0.637876
Read Throughput SRAM 0;11068;1481977;0.431856
Scalar Read Throughput SRAM 0;11068;2059289;0.310787
Read Throughput;11068;502228;1.274322
Scalar Read Throughput;11068;1003252;0.637926
Write Throughput SRAM 0;11068;882616;0.725117
Scalar Write Throughput SRAM 0;11068;2058253;0.310943
Write Throughput;11068;502473;1.273700
Scalar Write Throughput;11068;1003246;0.637929
Read Throughput SRAM 0;11588;1549441;0.413052
Scalar Read Throughput SRAM 0;11588;2132081;0.300176
Read Throughput;11588;502140;1.274545
Scalar Read Throughput;11588;1003142;0.637995
Write Throughput SRAM 0;11588;882779;0.724983
Scalar Write Throughput SRAM 0;11588;2132430;0.300127
Write Throughput;11588;502383;1.273928
Scalar Write Throughput;11588;1003141;0.637996
Read Throughput SRAM 0;12128;1601934;0.399517
Scalar Read Throughput SRAM 0;12128;2188607;0.292423
Read Throughput;12128;502056;1.274758
Scalar Read Throughput;12128;1003037;0.638062
Write Throughput SRAM 0;12128;882576;0.725150
Scalar Write Throughput SRAM 0;12128;2188865;0.292389
Write Throughput;12128;502311;1.274111
Scalar Write Throughput;12128;1003039;0.638061
Read Throughput SRAM 0;12700;1633070;0.391900
Scalar Read Throughput SRAM 0;12700;2218125;0.288532
Read Throughput;12700;501989;1.274928
Scalar Read Throughput;12700;1002969;0.638105
Write Throughput SRAM 0;12700;882393;0.725300
Scalar Write Throughput SRAM 0;12700;2218238;0.288517
Write Throughput;12700;502239;1.274294
Scalar Write Throughput;12700;1002969;0.638105
Read Throughput SRAM 0;13296;1658308;0.385936
Scalar Read Throughput SRAM 0;13296;2242269;0.285425
Read Throughput;13296;501908;1.275134
Scalar Read Throughput;13296;1002867;0.638170
Write Throughput SRAM 0;13296;882198;0.725461
Scalar Write Throughput SRAM 0;13296;2242676;0.285373
Write Throughput;13296;502158;1.274499
Scalar Write Throughput;13296;1002867;0.638170
Read Throughput SRAM 0;13920;1680513;0.380836
Scalar Read Throughput SRAM 0;13920;2262848;0.282829
Read Throughput;13920;501861;1.275254
Scalar Read Throughput;13920;1002829;0.638195
Write Throughput SRAM 0;13920;882406;0.725290
Scalar Write Throughput SRAM 0;13920;2262932;0.282819
Write Throughput;13920;502109;1.274624
Scalar Write Throughput;13920;1002828;0.638195
Read Throughput SRAM 0;14572;1690978;0.378479
Scalar Read Throughput SRAM 0;14572;2265100;0.282548
Read Throughput;14572;501764;1.275500
Scalar Read Throughput;14572;1002691;0.638282
Write Throughput SRAM 0;14572;882378;0.725313
Scalar Write Throughput SRAM 0;14572;2265431;0.282507
Write Throughput;14572;502014;1.274865
Scalar Write Throughput;14572;1002693;0.638281
Read Throughput SRAM 0;15256;1692205;0.378205
Scalar Read Throughput SRAM 0;15256;2256900;0.283575
Read Throughput;15256;501715;1.275625
Scalar Read Throughput;15256;1002645;0.638312
